Cust ID,Cust Name,Product ID,Product Version Used
C1,John Doe,P1,V1
C2,Jane Smith,P1,V2
C3,Bob Johnson,P1,V2
C4,Alice Brown,P2,V1
C5,Emily Davis,P2,V1
C6,Michael Wilson,P2,V2
C7,Sarah Miller,P1,V1
C8,David Jones,P1,V1
C9,Linda Garcia,P2,V1
C10,William Martinez,P2,V2
C11,John Doe,P1,V1
C12,Jane Smith,P1,V2
C13,Bob Johnson,P1,V2
C14,John Doe,P1,V1
C15,Jane Smith,P1,V2
C16,Bob Johnson,P1,V2
C17,John Doe,P1,V1
C18,Jane Smith,P1,V2
C19,Bob Johnson,P1,V2
C20,John Doe,P1,V1
C21,Jane Smith,P1,V2
C22,Bob Johnson,P1,V2
C23,John Doe,P1,V1
C24,Alice Brown,P2,V1
C25,Emily Davis,P2,V1
C26,Michael Wilson,P2,V2
